,AQI,PM2.5_24h,PM10_24h,SO2_24h,NO2_24h,O3_24h,CO_24h
2015-01-23,134.83442712394574,101.07406214242394,165.84493913523704,31.569000620669875,69.46215874360283,56.631281126855654,1.3709187798197893
2015-02-23,101.9495406968233,73.51032386494342,115.37717103749712,21.73391197168371,44.75460414183241,82.10520251688729,1.1848539804096867
2015-03-23,84.48203524199901,55.25623348739291,94.86354356191312,19.532429801813862,49.46659634648764,95.69499485466504,1.0728569551804183
2015-04-23,80.06234057647863,51.089819817228296,97.54081711568935,20.33706980457743,55.89618987695075,143.04209149694276,0.9306411674302616
2015-05-23,80.80513357319776,51.02320788443978,89.64066848916748,18.496158598034896,46.42990132950018,154.09696231707105,0.8922410396418476
2015-06-23,74.27630153251181,45.555224453947865,82.76582434897082,15.334920194136016,39.53211016417326,157.68335859411377,0.8356893426870989
2015-07-23,59.22073639922958,35.61454052152261,63.786576194084724,12.573146253670549,35.64851578956864,132.9981487780853,0.7032126986607848
2015-08-23,60.46577957814763,33.19617387136917,65.21358301539594,14.173713557165614,37.36483194559706,174.0734283521432,0.7304148274265643
2015-09-23,57.44593866353125,30.254712604148995,61.334202677801706,14.611414350544786,43.522623772422484,161.68926720235092,0.7387893653582059
2015-10-23,87.79426955613259,56.75205302391293,112.43639538355723,21.41307237426919,61.28133252087201,145.46758444099493,0.9405480374213426
2015-11-23,78.66119153697814,56.39463594472282,83.77908487280217,17.013918888522515,51.961329452151624,67.33534589835055,1.0789390437045308
2015-12-23,129.01689966743731,93.06139016040842,141.95501907231684,25.38428057060595,64.91271346958584,63.26044082880221,1.2064090517610975
2016-01-23,109.49362587224905,80.7539989264627,125.80212694578637,25.760151637144386,58.15536768652711,72.24388083735909,1.3350918947933441
2016-02-23,99.90819867843857,68.90227108667888,115.25903020711864,22.024668221444834,47.009724304514414,108.06913210061636,1.3489532664223445
2016-03-23,101.22406821841605,72.21951795841211,114.06035741042135,21.32632484262919,54.78600204948031,116.41362245644854,1.1659147123407994
2016-04-23,75.43667471819646,45.59420289855072,90.70516103059583,17.37514492753623,45.12187600644122,150.8432045088567,1.0035541465378421
2016-05-23,80.21012228748802,41.874237847932434,94.15624902709304,15.10687601034468,37.848345287886,150.38415111182587,1.0035513253156767
2016-06-23,58.44335152382656,36.37715651776306,62.078588397844975,17.437654817995668,34.65827369237192,146.73518816723325,0.9585208380549096
2016-07-23,54.51234671125977,30.652973022146934,56.088167207188945,18.48234673941196,30.796791453313197,138.39980194925846,1.0231475001447827
2016-08-23,56.1537661304028,25.646590095805074,53.9322423510467,16.758237162283056,30.868697441402755,184.84301708713548,0.8249313830738954
2016-09-23,66.55347131695761,35.24169819117484,70.4204155270983,14.865628913938094,37.61139547069499,193.06087638132723,0.8303054895244911
2016-10-23,46.152427062314864,25.153055123535673,47.30582508643149,11.494682187640038,38.8950664092762,91.63309878390706,1.0275464997903547
2016-11-23,66.04487178742413,40.55524316665621,79.74139632796464,17.60105659523361,49.24707665235616,79.04826268452044,1.1357365158995592
2016-12-23,93.07773127003685,64.0529443312703,110.12946693856895,22.79019563269118,63.43349046257988,97.98184306297972,1.282046552615353
2017-01-23,85.48759064592338,60.22152949932198,98.79511730337316,20.747301082189168,53.056079831977286,89.66782195525045,1.201173543573608
2017-02-23,86.40922619047618,59.26802248677247,93.68171296296296,19.71230158730159,52.28521825396825,106.0787037037037,1.2233300264550266
2017-03-23,75.17289989264629,47.2537372517445,90.70825281803543,18.07773081052067,54.59655126140634,123.33887546967256,1.1226784755770263
2017-04-23,77.67662372517445,49.329240472356425,87.40198604401503,15.563499731615673,52.39923510466989,131.54868491680085,1.2238164251207728
